label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
7	1250 mph	0.5773	aNDREW	Stockton	2852 m/s	1.1362	-0.0713	1440	921	801	ROBOTICS ENGINEERING	355	0.2009	-1294	302
4	1612 mph	1.9812	Lise	Santa Ana	1353 m/s	1.7074	1.3248	1809	-397	1217	Computer Science	328	1.2802	1649	-531
3	1076 mph	-0.6842	Chris	Moreno Valley	-75 m/s	-0.3871	0.5469	602	-628	373	Computer Engineering	905	-0.7456	1380	1231
8	1179 mph	0.0825	Vani	Chula Vista	2065 m/s	-0.1814	-0.1667	1634	774	318	Human Computer Interaction	-774	1.132	349	-402
7	1165 mph	0.7375	Andrew	Anaheim	-219 m/s	0.4305	1.0863	2112	1337	925	Computational Media	-1039	0.0365	-240	-58
7	750 mph	1.6112	Andrew	Stockton	-555 m/s	0.4262	-1.1298	1780	-555	79	Biotechnology	-1738	1.8355	-1105	-74
8	200 mph	-0.3951	Vani	Chula Vista	1483 m/s	2.024	-1.5064	1160	1057	-338	Computer Game Design	-1146	0.5769	2718	1375
9	1650 mph	1.31	Michael	San Diego	1214 m/s	-0.1787	1.8055	1058	1612	1448	Robotics Engineering	412	1.5139	-13	99
6	1545 mph	-1.0587	Sam	San Bernardino, Fremont	-599 m/s	0.5952	1.5974	925	1023	3147	Applied Mathematics	1112	0.2108	411	204
7	1099 mph	0.9502	Andrew	Anaheim	1669 m/s	0.2225	-0.6762	-474	159	-462	Computational Media	-779	-0.4112	2024	-967
2	1066 mph	1.4883	Inan	San Francisco	-405 m/s	-1.3358	0.8145	598	-334	2464	Natural Language Processing	-866	-0.3358	367	440
1	1158 mph	1.3525	Andrew	Riverside	-407 m/s	0.1996	1.2844	None	871	684	Bioengineering	477	-0.5631	1639	1672
2	427 mph	1.3005	Inan	San Francisco	82 m/s	0.1954	0.8549	1242	813	1848	Natural Language Processing	-1388	2.5854	-289	901
9	24 mph	0.4322	Michael	San Diego	-641 m/s	1.0494	1.6628	926	-471	-745	Games and Playable Media	2485	0.83	1804	-76
2	-978 mph	2.0936	Inan	Sacramento, Bakersfield	-723 m/s	0.0286	1.7417	1789	-9	-77	Natural Language Processing	-54	-0.1805	-91	2481
9	-81 mph	0.0888	Michael	Santa Ana	1181 m/s	0.7761	1.8533	1704	-860	1867	Games and Playable Media	68	0.5177	-1031	-1255
8	-220 mph	0.6196	Vani	Chula Vista	-902 m/s	0.1786	NULL	326	289	-441	Computer Game Design	99	0.7816	2299	748
8	199 mph	0.3315	Vani	Chula Vista	1865 m/s	0.5921	2.2593	834	-501	25	Computer Game Design	510	2.4898	-312	2103
5	1744 mph	1.4722	Eriq	Sacramento	1152 m/s	0.7462	1.3757	1308	752	1583	Data Science	1904	0.5368	1851	-397
6	1036 mph	-0.1082	Sam	Santa Clarita	-1247 m/s	-0.3867	1.9182	758	-197	-1047	Statistics	-769	-0.8304	395	1476
9	848 mph	-1.4589	Michael	sAN dIEGO	-190 m/s	0.0589	0.4421	-296	1201	509	Games and Playable Media	301	1.1302	395	-197
4	946 mph	-0.3576	Lise	Santa Ana	-563 m/s	0.5507	2.6037	1353	88	381	Computer Science	-522	0.5361	1045	884
7	-206 mph	1.0201	Andrew	Stockton	876 m/s	0.4378	0.1464		511	176	Biotechnology	-121	0.442	-31	-609
7	2524 mph	0.5251	Tony	Anaheim	7 m/s	-0.1527	-0.0471	1641	270	-314	Robotics Engineering	1314	0.381	-609	94
3	-323 mph	0.9381	Chris	Moreno Valley	178 m/s	1.1419	0.2252	1149	20	1020	Computer Engineering	776	-0.3787	991	-220
2	330 mph	0.5478	inan	San Jose	455 m/s	0.0729	2.1609	1306	1038	1588	Natural Language Processing	465	1.871	-36	-851
8	510 mph	-0.4587	Lise	Chula Vista	1286 m/s	0.6587	0.2445	-660	1319	-652	Computer Game Design	18	-0.1253	1139	1270
3	1796 mph	-0.984	Chris	Moreno Valley	750 m/s	1.2292	2.2583	880	1372	-540	Computer Engineering	-619	0.9582	1165	881
4	-860 mph	1.693	Lise	Santa Ana	380 m/s	0.3082	0.3513	482	357	445	Computer Science	252	0.1223	816	730
3	411 mph	-0.61	Chris	Moreno Valley	-330 m/s	0.7647	0.97	1716	-346	777	Computer Engineering	201	-1.0634	1414	1220
1	-363 mph	0.6901	Michael	Los Angeles	1097 m/s	1.2454	-0.7244	132	-361	-512	Bioengineering	None	1.1691	336	570
5	535 mph	1.2309	Eriq	Bakersfield, Fresno	1019 m/s	0.0459	-0.051	886	-194	253	Electrical Engineering	138	0.4684	1446	4
0	480 mph	1.3938	Tony	Oakland	1042 m/s	2.2553	1.0376	-535	389	1293	Human Computer Interaction	-455	0.0934	1099	-461
3	-436 mph	-0.0337	Chris	Moreno Valley	2096 m/s	-0.7492	1.1891	127	294	599	Computer Engineering	1022	1.183	705	-458
4	315 mph	0.1182	Lise	Santa Ana	-85 m/s	1.152	1.7698	1451	500	413	Computer Science	20	-0.1073	962	642
7	376 mph	0.6082	Andrew	Anaheim	-848 m/s	3.6538	2.8242	305	1212	845	Computational Media	-363	0.9471	-1535	-541
0	1362 mph	1.6316	Andrew	oakland	154 m/s	0.3979	1.8191	22	370	659	Computer Game Design	1733	-0.4424	-623	-1697
5	-72 mph	1.6353	Eriq	Sacramento, Fresno, Bakersfield	-1167 m/s	0.4246	2.0965	1417	1977	-390	Data Science	535	1.1996	1390	1922
8	-2023 mph	0.4043	Vani	Bakersfield, Sacramento	1832 m/s	0.2257	-0.5107	-300	641	930	Computer Game Design	2235	1.0453	1806	1460
7	148 mph	1.6233	Andrew	Anaheim	62 m/s	0.1653	0.1004	-67	57	134	Technology and Information Management	1207	-1.7499	790	-104
7	530 mph	0.3684	Andrew	Anaheim	1903 m/s	1.6508	0.1155	743	-401	-1197	Biotechnology	1684	0.8927	156	2681
4	1929 mph	0.7722	Inan	Santa Ana	403 m/s	0.5716	-0.3847	2297	1115	-5	Computer Science	1269	0.1312	-711	-986
9	-298 mph	0.6387	MICHAEL	San Diego	1443 m/s	0.7672	1.4129	659	-118	-1953	Games and Playable Media	845	-0.0791	2027	-399
9	107 mph	0.4528	Michael	San Diego	1048 m/s	-0.5118	1.5462	1884	1476	166	Games and Playable Media	1085	1.4491	274	86
3	-92 mph	-1.2743	Vani	Modesto	1148 m/s	0.625	1.3907	-559	100	181	Statistics	-1508	1.0833	897	396
9	1249 mph	1.3624	Michael	San Diego	1412 m/s	-0.0613	2.4927	1019	1247	-108	Games and Playable Media	-1281	1.1367	-607	n/a
2	930 mph	1.1221	Inan	San Francisco	498 m/s	2.992	2.0638	-877	1194	478	Natural Language Processing	-68	-0.8778	-2048	245
7	654 mph	0.5417	Andrew	Stockton	-308 m/s	1.3429	1.2054	2011	1480	593	Robotics Engineering	-375	0.1452	-605	-1510
1	-212 mph	0.7423	Fabrice	Los Angeles	1468 m/s	0.514	1.5384	-801	-571	1290	Bioengineering	-645	-0.2283	899	-170
3	-662 mph	0.8089	Chris	Modesto	314 m/s	-0.3533	1.6173	-774	625	584	Computer Engineering	-77	None	787	-2212
6	1179 mph	1.4204	Reilly	Fremont	-913 m/s	1.1293	0.8461	243	-11	40	Applied Mathematics	656	-0.6224	-86	-1037
3	-416 mph	0.1599	Chris	Moreno Valley	412 m/s	0.6214	1.0176	1856	170	-6	Computer Engineering	-632	1.0579	1506	-755
7	-1590 mph	1.456	Andrew	Anaheim	-1720 m/s	0.4725	-0.184	-2	NULL	93	Computer Science	13	-0.4766	-1278	2564
4	-337 mph	0.4274	Lise	Santa Ana	-350 m/s	0.8337	0.6374	587	538	512	Computer Science	-815	-0.3422	-729	-727
0	925 mph	2.1536	Tony	Irvine	213 m/s	0.8927	-0.2669	-1316	238	15	Human Computer Interaction	-253	0.656	899	-2358
0	698 mph	1.7321	Tony	irvine	431 m/s	1.6347	1.6059	126	1378	681	Bioinformatics	6	1.0668	446	122
2	-643 mph	0.8419	Inan	San Jose	-286 m/s	1.0631	0.4501	274	-666	361	NATURAL LANGUAGE PROCESSING	-779	0.9951	360	2112
6	-524 mph	1.2211	Eriq	Chula Vista	-1 m/s	2.2838	0.6983	327	818	716	Applied Mathematics	1519	0.6486	1878	402
6	706 mph	-1.0533	Reilly	Fremont	787 m/s	1.0621	-0.344	-157	-359	1220	Applied Mathematics	965	1.6836	-113	-858
1	521 mph	0.5251	Fabrice	lOS aNGELES	697 m/s	1.2086	-0.6295	773	1032	362	Bioengineering	1074	-0.592	222	-423
6	134 mph	0.062	Reilly	Santa Ana	-122 m/s	0.561	2.7995	684	-2209	625	Statistics	-625	0.7433	-340	-1045
7	-82 mph	1.577	Andrew	Anaheim	964 m/s	1.9117	1.7574	858	431	470	Robotics Engineering	-2154	0.063	1798	296
8	703 mph	1.0654	Sam	Chula Vista	-199 m/s	0.5309	0.1047	494	558	458	Computer Game Design	897	-0.3661	-379	2185
9	-184 mph	0.0334	Michael	San Diego	1308 m/s	-0.3259	1.595	403	-192	-1172	Games and Playable Media	-485	-0.8066	1315	-317
5	840 mph	1.9399	Eriq	Modesto	1829 m/s	-0.0017	0.6264	1379	-732	6	Electrical Engineering	1236	-0.5502	-163	1014
4	1004 mph	3.0029	Lise	Santa Ana	-384 m/s	-0.6916	1.7977	1332	-124	1266	Computer Science	-619	0.6635	153	-251
6	955 mph	-1.1275	Reilly	Fremont, Santa Clarita	-460 m/s	0.7199	-0.8748	231	-125	194	Statistics	1626	1.6524	2722	-232
7	1151 mph	-0.7409	Andrew	Stockton	2024 m/s	-1.3211	1.0201	-170	932	-67	Robotics Engineering	755	0.0626	604	133
8	-390 mph	0.7878	Vani	Chula Vista	935 m/s	0.3261	0.9968	2357	550	189	Computer Game Design	316	0.5628	1635	None
4	354 mph	1.5661	Lise	Santa Ana	-671 m/s	1.3243	2.0041	975	-401	403	Computer Science	500	-0.2021	71	1047
0	-81 mph	2.6533	Tony	Oakland	878 m/s	0.8844	0.1623	588	-335	-270	Human Computer Interaction	371	-0.0359	245	277
1	-300 mph	-0.7178	Fabrice	Los Angeles	863 m/s	1.0921	0.57	-430	1069	479	Bioengineering	-407	0.7212	912	-1133
8	-397 mph	-0.8707	Vani	Chula Vista	1279 m/s	0.1917	0.3935	616	258	412	Computer Game Design	-576	1.1743	1086	793
0	534 mph	0.4303	Tony	Irvine	-436 m/s	0.8655	0.2861	2476	-94	671	Human Computer Interaction	914	0.6222	-789	-805
0	1362 mph	1.1728	Andrew	Irvine	-534 m/s	-0.2251	-0.4968	1179	947	-378	Human Computer Interaction	1320	0.6626	1014	714
7	1920 mph	1.8355	Andrew	San Bernardino, Fremont	1493 m/s	n/a	1.142	-367	-129	1861	Computational Media	1293	-0.1168	-2365	-419
5	1110 mph	-0.0192	Eriq	Long Beach, Fresno	1301 m/s	-1.0885	0.8268	1051	882	1164	Data Science	724	1.8662	1474	2850
6	1231 mph	0.8298	Sam	Fremont	-892 m/s	1.0039	0.4198	-593	705	-482	Applied Mathematics	-423	0.3131	1011	2489
3	-121 mph	-0.9206	CHRIS	Modesto	1055 m/s	0.3433	1.0808	359	1512	3347	Computer Engineering	-26	0.1667	2303	753
6	-401 mph	1.1366	Reilly	Santa Clarita	514 m/s	0.4661	-1.5359	-2218	-845	602	Applied Mathematics	-1056	1.5059	1283	1440
3	403 mph	0.8624	Chris	Modesto	1648 m/s	0.6434	0.5223	2270	409	2310	Computer Science	1358	-1.2182	675	-281
2	1051 mph	-1.2242	INAN	San Jose	-671 m/s	1.2419	0.2909	986	906	111	Natural Language Processing	-783	-1.026	42	177
8	-357 mph	-1.0968	Vani	Chula Vista	-323 m/s	-0.8569	-0.601	920	1610	748	Computer Game Design	153	-0.0407	502	1309
4	653 mph	0.5384	Lise	Santa Ana	-298 m/s	1.2689	0.0629	1246	-436	563	COMPUTER SCIENCE	184	0.0757	-126	1167
4	1914 mph	1.9849	Vani	Santa Ana	1200 m/s	0.2381	2.1375	1053	544	303	Computer Science	877	0.2494	1099	422
4	592 mph	1.2938	Lise	Santa Ana	467 m/s	0.3781	1.3956	-91	441	-71	Computer Science	1434	0.6287	-48	2658
5	552 mph	1.3415	Eriq	Sacramento, Long Beach, Fresno	-273 m/s	-0.432	1.4738	338	-118	-1000	Electrical Engineering	-1201	0.2448	1514	-612
2	-672 mph	1.2989	Inan	Long Beach, Bakersfield, Sacramento	412 m/s	0.5797	0.608	-2662	-832	-131	Natural Language Processing	1996	-0.273	619	864
0	173 mph	-0.6742	Lise	Oakland	-664 m/s	-0.3633	1.4249	1290	-410	858	Bioinformatics	867	0.4084	-358	1644
8	1343 mph	0.6363	Vani	Chula Vista	-362 m/s	0.8052	-0.1126	928	1244	9	Computer Game Design	1094	0.5843	-579	-553
4	2133 mph	0.7656	Lise	Santa Ana	-162 m/s	0.5106	1.6628	886	-166	368	?	-711	-0.2348	1051	-1910
7	-635 mph	2.023	Andrew	Anaheim	128 m/s	0.2484	0.0665	None	1642	-481	Robotics Engineering	-1570	1.9851	-1483	1134
4	-1782 mph	1.5699	Lise	Santa Ana	502 m/s	1.5549	1.505	NULL	465	-1029	Computer Science	-212	-0.0481	745	2006
2	444 mph	0.8016	Inan	San Francisco	2117 m/s	0.8514	1.3902	-174	649	631	Natural Language Processing	517	0.1697	353	-1594
6	885 mph	1.0592	Reilly	Fremont	155 m/s	0.5734	-0.2913	-278	833	178	Statistics	2194	0.8779	179	-1680
3	804 mph	1.1521	Vani	Moreno Valley	818 m/s	-0.5193	1.5377	821	1314	-160	Computer Engineering	-664	-1.1882	1878	1753
0	1302 mph	?	Tony	Irvine	66 m/s	-0.0246	0.3127	-1675	912	1158	Bioinformatics	-1211	1.6677	1184	1480
9	823 mph	-0.487	Michael	San Diego	311 m/s	0.5449	0.7228	1436	1025	529	Games and Playable Media	1391	0.4979	-422	-956
1	239 mph	0.8235	Fabrice	Bakersfield	1625 m/s	-0.2911	0.4119	554	583	1644	Bioengineering	-262	1.402	1314	-365
0	703 mph	0.6461	Tony	Oakland	1085 m/s	1.2956	-0.9276	None	64	571	Bioinformatics	382	2.0917	1431	171
8	-755 mph	0.357	Michael	Chula Vista	2074 m/s	0.3487	1.3721	2368	670	2743	Computer Game Design	396	2.2182	-436	598
